SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,DaysSinceLast,IS_HOME_GAME,INJURY_SCORE
22018,1610612744,GSW,Golden State Warriors,0021800264,2018-11-21,GSW vs. OKC,0,241,95,36,83,0.434,7,29,0.241,16,24,0.667,7,35,42,24,7,10,17,18,-28.0,2018-19,3.0,1,111.90999999999998
22018,1610612744,GSW,Golden State Warriors,0021800277,2018-11-23,GSW vs. POR,1,241,125,48,85,0.565,17,32,0.531,12,16,0.75,6,37,43,29,11,10,15,22,28.0,2018-19,2.0,1,68.10999999999997
22018,1610612744,GSW,Golden State Warriors,0021800285,2018-11-24,GSW vs. SAC,1,238,117,41,88,0.466,10,34,0.294,25,29,0.862,12,42,54,28,5,6,14,24,1.0,2018-19,1.0,1,55.82999999999997
22018,1610612744,GSW,Golden State Warriors,0021800300,2018-11-26,GSW vs. ORL,1,240,116,41,84,0.488,13,35,0.371,21,23,0.913,10,36,46,21,8,7,14,19,6.0,2018-19,2.0,1,111.49999999999997
22018,1610612744,GSW,Golden State Warriors,0021800316,2018-11-29,GSW @ TOR,0,265,128,50,103,0.485,11,30,0.367,17,20,0.85,17,29,46,27,6,5,14,22,-3.0,2018-19,3.0,0,23.95999999999998
22018,1610612744,GSW,Golden State Warriors,0021800331,2018-12-01,GSW @ DET,0,239,102,39,85,0.459,6,26,0.231,18,21,0.857,8,36,44,23,6,5,14,22,-9.0,2018-19,2.0,0,20.47999999999999
22018,1610612744,GSW,Golden State Warriors,0021800344,2018-12-03,GSW @ ATL,1,240,128,48,82,0.585,13,24,0.542,19,22,0.864,6,33,39,33,10,8,20,24,17.0,2018-19,2.0,0,71.39
22018,1610612744,GSW,Golden State Warriors,0021800355,2018-12-05,GSW @ CLE,1,240,129,45,85,0.529,18,34,0.529,21,24,0.875,9,37,46,29,6,5,8,17,17.6,2018-19,2.0,0,-23.97
22018,1610612744,GSW,Golden State Warriors,0021800377,2018-12-07,GSW @ MIL,1,241,105,40,89,0.449,19,46,0.413,6,7,0.857,6,37,43,32,7,6,17,20,10.0,2018-19,2.0,0,6.949999999999989
22018,1610612744,GSW,Golden State Warriors,0021800400,2018-12-10,GSW vs. MIN,1,239,116,39,93,0.419,19,43,0.442,19,21,0.905,14,35,49,25,6,5,16,26,8.0,2018-19,3.0,1,12.139999999999993
22018,1610612744,GSW,Golden State Warriors,0021800415,2018-12-12,GSW vs. TOR,0,239,93,39,82,0.476,6,26,0.231,9,13,0.692,5,35,40,28,5,11,19,18,-20.0,2018-19,2.0,1,-99.03000000000002
22018,1610612744,GSW,Golden State Warriors,0021800428,2018-12-14,GSW @ SAC,1,241,130,44,96,0.458,15,40,0.375,27,36,0.75,15,45,60,32,5,0,18,23,5.0,2018-19,2.0,0,-0.8400000000000176
22018,1610612744,GSW,Golden State Warriors,0021800449,2018-12-17,GSW vs. MEM,1,240,110,37,85,0.435,12,31,0.387,24,27,0.889,6,36,42,23,10,5,10,19,17.0,2018-19,3.0,1,-170.34
22018,1610612744,GSW,Golden State Warriors,0021800464,2018-12-19,GSW @ UTA,0,240,103,38,95,0.4,10,31,0.323,17,18,0.944,10,38,48,18,10,9,12,21,-5.0,2018-19,2.0,0,29.30999999999999
22018,1610612744,GSW,Golden State Warriors,0021800484,2018-12-22,GSW vs. DAL,1,239,120,45,98,0.459,15,43,0.349,15,16,0.938,15,39,54,34,7,7,13,23,4.0,2018-19,3.0,1,-40.870000000000005
